hau 105
háu 98
hẫu 45
hậu 149
hầu 151
hấu 45
hàu 53
hâu 40
vịn 50
vin 125
soạt 52
soát 54
hứng 146
hưng 138
hững 48
hừng 53
húng 99
hửng 106
hung 140
hùng 141
choèn 15
choẹt 97
thưỡi 48
ịch 9
ích 127
huỳnh 106
huynh 114
phéc 50
pheo 25
phèo 123
phen 129
phèn 55
phên 51
phép 153
phều 48
phễu 52
phệt 52
phẹt 22
phết 148
phét 132
chuẩn 155
luật 154
luận 140
luân 129
luẩn 101
soa 3
liếc 133
sọc 118
sóc 119
sốc 144
cướp 151
xuộm 51
soi 148
sòi 52
sôi 139
sợi 137
sới 48
sởi 121
sồi 53
sổi 53
sỏi 120
sói 125
sõi 49
sòm 9
sơm 98
sớm 155
sọm 51
son 135
sôn 48
sơn 148
sớn 53
sờn 54
sởn 55
sồn 132
són 51
sòn 106
sộp 53
sột 51
sớt 48
sốt 142
sọt 130
sót 134
liệt 144
liệu 152
liễu 130
liều 142
liêu 101
cuỗm 51
cườm 49
cuốn 149
cuồn 50
cuộn 137
cưới 152
cuối 154
cười 155
cuội 106
cưỡi 126
giữ 155
giũ 52
giú 53
gíp 48
uyên 122
uyển 101
gie 50
giê 22
gié 52
giề 130
giẻ 121
gia 155
giã 112
giá 155
già 154
giả 154
giạ 49
giỏ 123
giơ 139
gio 139
gió 152
giò 131
giỗ 126
giở 134
giờ 155
gìn 109
gin 51
trừu 55
trút 121
trụt 51
trui 54
trũi 19
trùi 119
trụi 102
trụm 49
trùm 146
trúm 51
trùn 52
trụa 42
trưa 149
trực 152
trúc 123
trục 137
xoáy 136
xoay 147
ngoét 18
xoải 52
xoài 125
xoàm 44
xoẳn 51
xoan 51
xoăn 51
xoắn 143
liếng 26
liêng 45
liểng 50
liệng 52
xoác 53
xoạc 53
phạch 51
phách 55
trỉa 49
trịa 22
khư 113
khù 54
khú 48
khu 153
khự 40
khứ 48
khừ 49
khử 115
khụ 14
khủ 21
khì 24
khí 143
khi 155
khỉ 141
khị 45
khơ 51
khò 97
khó 155
khô 147
kho 151
khớ 48
khờ 126
khố 99
khổ 154
khỏ 53
tríu 51
trĩu 55
trìu 53
trịt 28
trít 48
thủng 121
thững 22
thưng 53
thũng 52
thụng 50
thừng 97
thúng 55
thung 98
thùng 146
chệch 100
chếch 49
đạch 109
nì 127
ni 137
nỉ 54
nớ 50
nơ 121
nò 50
nó 155
nô 145
nõ 49
no 153
nổ 151
nọ 154
nỏ 55
nộ 50
nở 140
nỗ 136
nỡ 135
nợ 150
tít 144
tịt 135
tíu 53
tĩu 107
tịu 38
tiu 109
típ 125
nẻ 51
ne 127
nè 154
né 134
nê 52
nề 55
nể 145
nệ 54
nẹ 43
tím 145
tìm 155
tỉm 98
tim 151
tín 143
tĩn 50
tìn 104
tin 155
đểnh 52
dềnh 54
đễnh 12
đênh 27
đềnh 6
nt 35
tía 117
tia 126
tỉa 117
biếng 106
biêng 49
toán 136
toàn 155
toan 126
toái 43
toại 53
toài 49
diếp 53
điệp 122
diệp 116
diết 6
diệt 143
diêu 40
điêu 134
điểu 109
diệu 104
điếu 116
diễu 98
điệu 137
điều 155
diều 127
diên 106
điên 151
diện 148
diễn 154
điển 142
điện 155
điền 146
toáy 53
diêm 114
điệm 40
điếm 121
diễm 125
diềm 53
điểm 155
điềm 118
toát 128
diếc 53
diệc 54
điếc 121
nhưỡng 43
nhường 143
nhượng 114
